group_id,title,description,group_type,member_count,admin_count,number_of_bots,pinned_messages,pinned_messages_timestamp,visibility
1,rich Group,Majority population example particular.,public,698.0,14.0,7.0,What trouble crime sport player.,,public
2,continue Group,,public,145.0,5.0,29.0,,,restricted
3,admit Group,Society section how prove event.,public,819.0,8.0,,,,public
4,thus Group,Doctor deep particularly eat.,private,367.0,12.0,40.0,Run always be cup marriage friend.,,restricted
5,Congress Group,Reflect ball religious from head social.,private,253.0,5.0,1.0,Skill state protect your increase right.,,public
6,every Group,Bag far seek garden may that effect.,private,97.0,8.0,,Itself just society.,,restricted
7,data Group,Different situation suggest along to.,public,536.0,10.0,8.0,Seven teach most environment president easy stand.,2024-09-30 18:10:45,restricted
8,next Group,,private,836.0,,13.0,Tell magazine marriage near government.,,public
9,admit Group,Eye challenge democratic base why movie participant.,public,,6.0,,Bring beyond avoid seat.,,
10,operation Group,,public,694.0,1.0,13.0,Moment recently reveal country as three away.,2024-09-24 04:12:19,public
11,office Group,Leave against would chance.,private,785.0,,14.0,You real structure help.,2024-09-11 04:25:34,restricted
12,study Group,Approach try financial work learn act.,public,556.0,14.0,9.0,Help prepare herself somebody.,,public
13,whatever Group,,private,201.0,10.0,38.0,,2024-12-04 20:11:06,public
14,rule Group,,private,55.0,13.0,,,2024-06-13 16:52:10,restricted
15,reality Group,Increase anything task.,private,931.0,5.0,9.0,Special question increase conference.,,public
16,course Group,Training local instead style nor smile beat.,private,159.0,13.0,34.0,Move account draw defense health.,2024-03-20 12:20:45,public
17,true Group,Media minute specific identify involve somebody.,private,274.0,8.0,11.0,Picture marriage degree pass.,2024-07-08 04:15:10,restricted
18,mission Group,Force where act woman speak.,private,762.0,8.0,1.0,Eat treat treat.,2024-10-04 17:33:28,restricted
19,blood Group,Fast low matter forward try suggest.,public,101.0,3.0,22.0,,,restricted
20,threat Group,,public,989.0,7.0,15.0,,,restricted
21,toward Group,Everybody be realize environmental.,private,517.0,8.0,1.0,Bad down method child about heart rich.,,restricted
22,hope Group,Art at worker whatever kind picture send those.,public,525.0,8.0,3.0,Else blue sport may discover.,,public
23,data Group,Live hotel win son lose fire away.,public,622.0,6.0,26.0,Nice issue another score business.,2024-09-24 22:05:20,restricted
24,thank Group,,public,823.0,2.0,47.0,Camera easy real lay move surface.,2024-06-02 21:25:54,public
25,soldier Group,Time exactly program final child three key.,private,677.0,6.0,,Cause goal role wife relate develop.,2024-04-01 02:55:39,restricted
26,scene Group,Finish any lawyer behavior particularly.,public,963.0,8.0,23.0,,2024-10-25 17:41:00,public
27,once Group,,public,900.0,7.0,6.0,,2024-12-29 20:41:18,restricted
28,wrong Group,,private,506.0,9.0,14.0,Oil air you itself.,2024-07-11 00:46:25,restricted
29,sing Group,Think student husband meet score.,public,811.0,,2.0,Health great heart someone remember and require think.,2025-01-13 09:41:42,restricted
30,lawyer Group,Win offer team nor fear.,public,510.0,,42.0,Class operation knowledge argue year.,2024-09-24 23:52:21,restricted
31,bill Group,Visit young anyone toward player.,public,303.0,2.0,29.0,,,restricted
32,be Group,Police finish effect what nothing strong vote.,public,333.0,7.0,1.0,Democrat three seek firm.,,public
33,film Group,Because fish size again try.,public,583.0,14.0,,Republican future during trouble room.,,restricted
34,claim Group,Create require whatever.,public,294.0,11.0,25.0,,2024-06-15 10:22:23,public
35,list Group,Any son compare mouth no tonight daughter.,public,129.0,8.0,6.0,Part inside both sport break race argue.,2024-12-07 01:20:41,restricted
36,general Group,Skill forget woman authority.,private,290.0,4.0,28.0,Use low year one worker side drive.,,restricted
37,account Group,Else threat protect blue region.,public,377.0,10.0,,Alone style enjoy again there.,,restricted
38,specific Group,Professional sport fast eight great.,public,132.0,11.0,,,,restricted
39,weight Group,Hold agreement table support instead property show.,public,286.0,1.0,4.0,,2024-06-18 11:32:38,public
40,authority Group,Daughter pick trial bit writer speak interview.,public,206.0,9.0,39.0,,2024-03-03 01:17:30,public
41,money Group,Capital identify develop protect month do never.,private,115.0,5.0,35.0,Necessary impact debate.,,public
42,who Group,,private,388.0,12.0,24.0,Several finish commercial wife year why.,,restricted
43,role Group,Policy could painting impact keep shoulder catch a.,private,475.0,1.0,33.0,,,public
44,yet Group,Give exactly more term develop east.,public,,10.0,32.0,,2025-01-22 05:29:46,public
45,break Group,,private,448.0,12.0,6.0,,,
46,do Group,Medical professor deep camera.,public,648.0,9.0,7.0,Action factor environmental game data early civil reality.,2024-11-22 23:55:21,public
47,agreement Group,,private,70.0,,41.0,Bill important if actually ever would success.,,restricted
48,record Group,Significant site about recently.,private,833.0,4.0,35.0,Energy college agree approach.,2024-08-23 01:23:51,public
49,everyone Group,Quality argue address arrive bring structure person.,public,538.0,15.0,13.0,,,restricted
50,rest Group,Hundred college step education.,private,,2.0,14.0,,,public
51,senior Group,Fall you like year very without.,private,821.0,3.0,29.0,,2024-02-13 02:34:15,public
52,art Group,Indicate set almost new box watch.,private,963.0,12.0,46.0,,,public
53,actually Group,Now phone wrong floor skin.,public,479.0,12.0,,Management necessary radio animal form perform young.,,public
54,but Group,Quite action lead growth remember term population.,public,802.0,14.0,42.0,Mind size ahead military town happen.,,public
55,whose Group,Cover name under be alone.,private,667.0,8.0,9.0,,2024-03-05 08:18:26,public
56,stage Group,Little man over likely sport government.,public,549.0,9.0,30.0,Organization be manage pass.,,public
57,maybe Group,,public,496.0,4.0,,Show address democratic difference ground work.,,restricted
58,we Group,Letter hot simply.,public,448.0,9.0,5.0,Offer fish each speak few end green structure.,,public
59,eat Group,,private,745.0,3.0,47.0,Population the term kitchen good say hair.,,restricted
60,hear Group,Talk baby case people number.,public,791.0,5.0,8.0,,2024-04-17 09:32:16,public
61,explain Group,Address its we range.,private,528.0,14.0,37.0,,,public
62,child Group,Get official address task bag.,public,687.0,15.0,35.0,,2025-01-06 08:33:35,restricted
63,help Group,I play war positive.,public,978.0,5.0,7.0,,2024-08-20 06:16:46,restricted
64,nor Group,Subject live training challenge.,private,627.0,5.0,42.0,,2024-04-21 08:36:44,public
65,book Group,Game knowledge stay travel may their.,private,135.0,14.0,27.0,,2024-12-23 08:21:25,restricted
66,analysis Group,While huge safe success.,public,188.0,11.0,46.0,,,public
67,son Group,Likely big present data.,private,236.0,3.0,,,2024-06-26 08:45:39,restricted
68,perform Group,,private,,8.0,19.0,Between include difference share new enjoy indeed.,2024-11-17 02:59:22,public
69,those Group,Serious until player fear.,public,266.0,9.0,36.0,,2024-08-28 23:57:01,
70,maintain Group,Not American sure scene wish.,private,395.0,7.0,9.0,,2024-11-25 23:17:34,restricted
71,thought Group,Yard street Republican nice matter truth.,public,438.0,6.0,14.0,,,public
72,where Group,System yet training accept environmental.,public,901.0,12.0,22.0,Court investment player them service.,,restricted
73,must Group,Break brother project executive note drop.,private,904.0,7.0,23.0,,2024-10-08 20:01:51,restricted
74,from Group,Pull loss under fact born with.,public,,13.0,17.0,Anyone perhaps sell analysis Mrs question.,,
75,it Group,Spring might line student time million world.,public,,6.0,27.0,Experience spring network position next.,2024-02-02 10:16:57,public
76,third Group,Sense again people what.,public,408.0,12.0,49.0,,2024-12-31 06:33:11,restricted
77,usually Group,Trip ready keep buy.,private,120.0,7.0,39.0,Suddenly race try crime movie.,,public
78,pass Group,Phone meet this.,private,717.0,11.0,35.0,Quality particular little.,,
79,natural Group,Thing effort specific although trip.,public,,11.0,,,,restricted
80,statement Group,Throw personal benefit into charge worry.,private,,8.0,44.0,,2024-07-23 17:13:08,restricted
81,gun Group,Ago response not tree ten.,public,909.0,3.0,11.0,,,public
82,stock Group,Social lose lay generation moment.,private,,10.0,48.0,Above work until race sea old box.,2024-09-22 12:58:26,restricted
83,note Group,Interest including or today population data.,private,179.0,2.0,21.0,History blood later despite want even.,2024-03-31 22:59:16,public
84,like Group,Government traditional choose better.,private,167.0,8.0,11.0,,,restricted
85,order Group,Check threat international everybody put.,public,273.0,,36.0,Owner dog management whom.,2024-12-05 23:29:57,restricted
86,stand Group,House food factor base.,public,312.0,1.0,4.0,,2024-02-07 16:58:07,restricted
87,race Group,Have them around spend.,private,221.0,7.0,40.0,,2025-01-10 06:28:00,restricted
88,increase Group,Address population them.,private,815.0,3.0,5.0,,,public
89,father Group,,public,846.0,,13.0,College already single important mention assume.,2024-06-19 16:12:13,public
90,win Group,,public,368.0,5.0,29.0,Black security music particularly as.,2024-11-12 07:42:16,restricted
91,law Group,,private,76.0,12.0,23.0,,,restricted
92,music Group,Key vote none maintain finish.,public,639.0,2.0,20.0,Himself safe themselves college.,2024-06-25 11:10:02,restricted
93,involve Group,Both action our wall child tough.,private,434.0,14.0,36.0,,,public
94,million Group,Admit arm fish local little.,public,782.0,9.0,3.0,Dream local cup account traditional.,2024-02-10 16:29:16,public
95,value Group,,private,656.0,6.0,48.0,Either research into career what between former.,,restricted
96,national Group,Affect serve girl.,private,692.0,15.0,43.0,Growth administration ahead make certainly nearly.,2025-01-22 14:00:37,
97,respond Group,Middle visit determine bank.,public,763.0,14.0,,Participant yes present American music.,2024-11-24 15:14:06,public
98,claim Group,Unit tree small send.,public,920.0,10.0,27.0,,,public
99,authority Group,Little kid include become study better.,public,874.0,,28.0,,,public
100,think Group,Six magazine head buy indeed challenge increase.,public,629.0,15.0,13.0,,2025-01-19 18:01:00,restricted
101,this Group,,public,405.0,4.0,7.0,Their fish source both become Democrat bill cover.,2024-06-10 11:31:03,public
102,home Group,Guy game bill writer prepare.,private,727.0,7.0,7.0,,,restricted
103,clearly Group,Manager a theory though second west.,public,568.0,13.0,43.0,They skill half.,2024-05-18 09:44:45,
104,state Group,Bill half trial sign style.,private,62.0,14.0,33.0,She phone more Mrs.,2024-04-12 22:47:36,public
105,result Group,Information maintain hospital change value run wide.,public,892.0,3.0,2.0,,2024-09-04 07:00:05,restricted
106,end Group,Send prevent report general hold item conference.,public,493.0,15.0,38.0,Nature candidate western window else stage night.,,public
107,pass Group,,private,700.0,,,Behind attack appear change real.,,restricted
108,no Group,International will drug fund put.,private,520.0,1.0,13.0,Actually cold around suddenly skin.,2024-06-30 18:44:59,restricted
109,town Group,Husband remember product safe field address.,public,495.0,6.0,48.0,Final good meet inside purpose church.,,public
110,better Group,Far beyond affect meeting.,private,584.0,4.0,20.0,,,public
111,leader Group,Exactly skill when social suddenly main.,public,326.0,10.0,31.0,Small account value.,2024-11-21 08:55:50,
112,like Group,Economy however human despite build amount song.,public,991.0,3.0,11.0,,,public
113,any Group,Someone firm collection blood career.,public,545.0,2.0,34.0,,,public
114,against Group,,private,895.0,7.0,32.0,,,public
115,physical Group,Require plant dream evening risk.,private,324.0,4.0,42.0,Laugh affect campaign add cell total agree exactly.,,restricted
116,sister Group,Avoid hair performance minute figure cold do.,public,301.0,10.0,4.0,,,
117,southern Group,Forward no process enter actually themselves apply.,public,138.0,8.0,47.0,,2024-02-29 09:45:22,public
118,crime Group,Fly reason hit.,public,511.0,8.0,,,,restricted
119,happen Group,Red pass usually decide technology.,public,525.0,1.0,,Unit right century.,2024-10-11 18:43:02,restricted
120,always Group,,private,734.0,8.0,20.0,,,restricted
121,wish Group,Discuss different represent visit.,public,79.0,11.0,36.0,Number enough plan ability.,,public
122,stand Group,Scientist from population goal finally skill foreign.,public,382.0,2.0,40.0,They others population against.,2024-03-01 13:45:37,restricted
123,serious Group,Evening course show politics fire parent teach.,private,267.0,6.0,7.0,,2024-08-08 00:10:00,restricted
124,economy Group,Together open term.,private,314.0,5.0,20.0,,,public
125,whatever Group,,public,951.0,7.0,39.0,,,public
126,body Group,Seven compare sure better.,private,951.0,8.0,44.0,Sea its media method.,,restricted
127,sign Group,,public,60.0,4.0,5.0,Effect glass risk computer.,,restricted
128,probably Group,Group security nice great budget.,public,245.0,14.0,6.0,Until religious three any.,,public
129,catch Group,Reach season include exist name along.,private,,4.0,37.0,Member night it purpose many nor.,,restricted
130,argue Group,Leave why recognize nor less.,public,550.0,6.0,5.0,,2024-03-21 05:46:07,public
131,world Group,President think including pull.,private,296.0,12.0,19.0,,2024-07-10 18:35:39,public
132,information Group,,public,711.0,14.0,14.0,,,
133,person Group,Everybody smile station down onto once four.,public,508.0,5.0,10.0,Fine police century.,2024-08-26 16:55:58,public
134,second Group,Fight detail again attention fund.,private,145.0,,,Answer wall until assume never agree.,2024-05-13 11:38:04,public
135,yet Group,,private,464.0,13.0,33.0,,2024-03-17 20:28:04,public
136,notice Group,Occur physical teach they whatever west computer bag.,private,363.0,1.0,49.0,,2024-04-04 21:00:41,public
137,night Group,,public,427.0,12.0,46.0,General while charge think.,2024-06-20 07:53:14,public
138,near Group,Surface run least hit.,public,593.0,15.0,41.0,Within form mission ready.,,public
139,unit Group,Realize generation challenge key see west.,public,813.0,13.0,15.0,,,public
140,stage Group,,public,410.0,10.0,16.0,,2024-10-14 18:41:02,restricted
141,maybe Group,Despite throughout question traditional real law my water.,private,327.0,4.0,38.0,,,restricted
142,again Group,News son skill art.,private,286.0,10.0,48.0,Personal article activity mouth machine professor expect.,2024-12-20 08:16:07,restricted
143,rate Group,To head admit whose something.,private,247.0,13.0,11.0,,,public
144,time Group,Follow happy able own hope.,public,810.0,11.0,40.0,,,public
145,a Group,While end summer man know exist during.,private,830.0,3.0,48.0,Kid whom manager trip.,,restricted
146,color Group,Happy chair television nor whether represent draw.,private,246.0,15.0,37.0,,,
147,simple Group,Game already page head car station impact choose.,private,545.0,1.0,36.0,Become win question all big mention.,,public
148,step Group,Away project pass court.,private,653.0,8.0,39.0,,2024-05-13 11:25:28,restricted
149,cut Group,Start whether ask.,public,587.0,,40.0,Dinner finish wrong agree meeting trouble perform.,,public
150,threat Group,Arm plant fly outside price difference cost.,public,152.0,3.0,28.0,,,restricted
